,sentiment,title,review,sentiment_label,review_clean
0,5.0,"Greatly impressed, I recommend these","Ordered a few bags, put some in mine  and my children's glove boxes so we're are prepared for messes from my grandkids lol.<br />Put some in camping and hiking gear too. We all tried them on an outing that included picnic lunch and hiking. Very handy they are as good as advertised. Tiny yet sturdy, and nice size when opened for use. It takes very little water to get them to unfold and open.<br />PS my grandkids love them sho much that they have  been using them to clean. Maybe you will get that addressed",0,"['ordered', 'bag', 'put', 'mine', 'child', 'glove', 'box', 'lol', 'put', 'camping', 'hiking', 'gear', 'tried', 'included', 'hiking', 'handy', 'good', 'advertised', 'tiny', 'yet', 'sturdy', 'nice', 'size', 'opened', 'use', 'take', 'little', 'water', 'get', 'open', 'love', 'much', 'using', 'clean', 'maybe', 'get']"
1,5.0,Great Lures,Nice quality lures heavy duty,0,"['nice', 'quality', 'heavy', 'duty']"
2,5.0,Perfect for what I needed,Lost mine in a move. Perfect for what I needed.,0,"['lost', 'mine', 'move', 'perfect', 'needed']"
3,5.0,Great Product,Great quality.  Adjustable from 22lbs-88lbs of tension.,0,"['great', 'quality', 'adjustable', 'tension']"
4,5.0,Great box,This mini Tackle box comes with so many fishing accessories To make your fishing experience fun. Great to have handy or to give us a gift for any age Fisherman,0,"['box', 'come', 'many', 'fishing', 'make', 'fishing', 'experience', 'fun', 'great', 'handy', 'give', 'gift', 'age']"
5,4.0,Four Stars,good,0,['good']
6,4.0,Handy for fishing.,Seems to work well. It would have been better  had they included a strap to weigh luggage. I get the feeling this was designed for fishing and then they came up with a dozen other uses to tack on to the description. But having the tape measure built in is nice.,0,"['seems', 'work', 'well', 'better', 'included', 'strap', 'get', 'feeling', 'designed', 'fishing', 'came', 'description', 'tape', 'built', 'nice']"
7,5.0,Great addition to any survival kit or camping gear.,Husband was very impressed with the fire starter. It was easy to use & works well. Lanyard is a nice feature to keep track of all the pieces. Great addition to any survival kit or camping gear.,0,"['husband', 'impressed', 'fire', 'easy', 'use', 'work', 'well', 'nice', 'feature', 'keep', 'track', 'piece', 'great', 'addition', 'kit', 'camping', 'gear']"
8,5.0,Great product!,I used this out open lake and i used a texas worm rig and i caught some pretty huge bass in the weeds! the worm is weedless and i didnt get snaged and had good day catching large mouth bass,0,"['used', 'open', 'used', 'pretty', 'huge', 'get', 'good', 'day', 'large', 'mouth']"
9,5.0,Five Stars,Love them!,0,['love']
10,5.0,Great to get in a little core exercise while visiting ...,I used this at home as my chair instead of using the couch when watching TV. I also use it when we have guests and there is limited seating. Great to get in a little core exercise while visiting with guests.,0,"['used', 'home', 'chair', 'instead', 'using', 'watching', 'also', 'use', 'great', 'get', 'little', 'exercise']"
11,4.0,Not bad for the price,They’re good choice for beginner golfer or cheaper brand putter. I bought 4 of them & installed 2. I highly recommend putting them on a chipper versus a good putter if you’re looking for feel,0,"['good', 'choice', 'beginner', 'cheaper', 'brand', 'bought', 'installed', 'highly', 'recommend', 'putting', 'good', 'looking', 'feel']"
12,5.0,Five Stars,This was a gift for my son,0,"['gift', 'son']"
13,5.0,Five Stars,Great Product and price,0,"['great', 'product', 'price']"
14,1.0,Disappointed,"Used to love these, my water didn't stay cold.  Very disappointed.",1,"['used', 'love', 'water', 'stay', 'cold', 'disappointed']"
15,2.0,Not thrilled- super thin,This tshirt is very thin and after one wash it’s all crooked.  It will be a night shirt now. Ugh,1,"['thin', 'one', 'wash', 'night', 'shirt']"
